prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instText.started,instText.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,targetInstr.started,targetInstr.stopped,targetText.started,targetText.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,15.507010291999904,None,['space'],[1.6517270830081543],15.507010291999904,None,,,,,,,,,,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
Frog,0,0,0,0,,,,,,,17.19636649999302,None,17.19636649999302,None,19.195436333000544,None,19.195436333000544,None,F_rog,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
Donkey,0,1,1,1,,,,,,,24.378852541995002,None,24.378852541995002,None,26.378457041995716,None,26.378457041995716,None,lctrlf,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
Poodle,0,2,2,2,,,,,,,166.56208750000224,None,166.56208750000224,None,168.56082604199764,None,168.56082604199764,None,P_oodle,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
in,0,3,3,3,,,,,,,172.11245887499535,None,172.11245887499535,None,174.11023224999371,None,174.11023224999371,None,in,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
Titlecase,0,4,4,4,,,,,,,175.74576037499355,None,175.74576037499355,None,177.74635812499037,None,177.74635812499037,None,T_itlecase,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
None,0,5,5,5,,,,,,,181.57878429199627,None,181.57878429199627,None,183.57848574999662,None,183.57848574999662,None,T_itlecase,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
None,0,6,6,6,,,,,,,186.52885141699517,None,186.52885141699517,None,188.5288314579957,None,188.5288314579957,None,T_itlecase,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
None,0,7,7,7,,,,,,,191.5452246670029,None,191.5452246670029,None,193.5455113749922,None,193.5455113749922,None,T_itlecase,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
None,0,8,8,8,,,,,,,199.44506283299415,None,199.44506283299415,None,201.4458650000015,None,201.4458650000015,None,T_itlecase,Joane,001,2021_Mar_20_1020,inputText,2021.1.2,60.21640281545803,
